betterend:dragon_graveyards,minecraft:oak_sapling
terralith:cave/mantle_caves,minecraft:oak_sapling
minecraft:snowy_plains,dreamwoods:snowy_sapling
dreamwoods:old_growth_swampland,dreamwoods:swamp_sapling
betternether:sulfuric_bone_reef,minecraft:oak_sapling
compactmachines:machine,minecraft:oak_sapling
darkerdepths:glowshroom_forest,minecraft:oak_sapling
wythers:pantanal,minecraft:oak_sapling
biomeswevegone:ebony_woods,biomeswevegone:ebony_sapling
betterend:neon_oasis,minecraft:oak_sapling
wythers:mud_pools,minecraft:oak_sapling
regions_unexplored:marsh,minecraft:oak_sapling
wythers:maple_mountains,autumnity:maple_sapling
terralith:savanna_slopes,minecraft:acacia_sapling
regions_unexplored:cold_deciduous_forest,minecraft:oak_sapling
regions_unexplored:alpha_grove,regions_unexplored:alpha_sapling
gravitation:undergrowth,minecraft:oak_sapling
wythers:frigid_island,minecraft:oak_sapling
dreamwoods:alpine_fields,biomesoplenty:pine_sapling
dreamwoods:northern_swamp,dreamwoods:swamp_sapling
clifftree:glacier_valley,minecraft:oak_sapling
wythers:crimson_tundra,minecraft:oak_sapling
mythicbotany:alfheim_plains,minecraft:oak_sapling
atmospheric:rocky_dunes,minecraft:oak_sapling
regions_unexplored:ashen_woodland,foolish:ashen_sapling
wythers:tropical_beach,mysticsbiomes:tropical_sapling
deep_aether:blue_aerglow_forest,minecraft:oak_sapling
biomeswevegone:zelkova_forest,biomeswevegone:zelkova_sapling
dreamwoods:wet_larch_forest,dreamwoods:larch_sapling
minecraft:birch_forest,minecraft:birch_sapling
aether_redux:the_blight,minecraft:oak_sapling
truedarkness:corrupted_place,minecraft:oak_sapling
bleak_and_barren:barren_drylands,minecraft:oak_sapling
dreamwoods:seasonal_taiga,minecraft:spruce_sapling
betternether:gravel_desert,minecraft:oak_sapling
dreamwoods:spruce_lowlands,minecraft:spruce_sapling
wythers:scrub_forest,minecraft:oak_sapling
ae2:spatial_storage,minecraft:oak_sapling
wythers:temperate_rainforest,minecraft:oak_sapling
natures_spirit:coniferous_covert,minecraft:oak_sapling
clifftree:tropical_river,mysticsbiomes:tropical_sapling
minecraft:end_midlands,regrowth:no_sapling
ad_extendra:intriguing_wastelands,minecraft:oak_sapling
